,id,headlines,ChanceOfVirality
4591,4591,Ohio woman finalizes adoptions through video call amid coronavirus pandemic,4
4592,4592,Nightly News,1
4593,4593,New Jersey coronavirus patient receives joyous welcome home after experimental drug success,3
4594,4594,Inspiring America,0
4595,4595,Nightly News,1
4596,4596,"50 years later, Apollo 13’s enduring message of hope for Americans",2
4597,4597,Nightly News,1
4598,4598,Florida utility worker brings birthday joy to nursing home resident amid coronavirus pandemic,3
4599,4599,Nightly News,1
4600,4600,Coronavirus patient leaves California hospital after spending nearly a month in ICU,2
4601,4601,Inspiring America,0
4602,4602,Nightly News,1
4603,4603,Acts of heroism shine during darkness of coronavirus crisis,2
4604,4604,Justice For All,0
4605,4605,02:47,0
4606,4606,Nightly News,1
4607,4607,03:57,0
4608,4608,Nightly News,1
4609,4609,07:49,0
4610,4610,Nightly Films,0
4611,4611,03:01,0
4612,4612,Nightly News,1
4613,4613,01:49,0
4614,4614,Nightly News,1
4615,4615,05:34,0
4616,4616,Nightly News,1
4617,4617,00:38,0
4618,4618,Nightly News,1
4619,4619,07:38,0
4620,4620,Nightly News,1
4621,4621,00:38,0
4622,4622,Nightly News,1
4623,4623,01:40,0
4624,4624,Nightly News,1
4625,4625,03:39,0
4626,4626,Nightly News,1
4627,4627,03:02,0
4628,4628,Nightly News,1
4629,4629,03:22,0
4630,4630,Nightly News,1
4631,4631,05:17,0
4632,4632,Dateline,0
4633,4633,Sections,0
4634,4634,TV,0
4635,4635,Featured,0
4636,4636,More from NBC,1
4637,4637, Follow NBC News ,1
4638,4638,6:30 p.m ET / 5:30 p.m. CT,0
4639,4639,Dr. Birx warns of social distancing through summer as states begin to reopen,1
4640,4640,Dr. Birx warns of social distancing through summer as states begin to reopen,1
4641,4641,"Coronavirus: New York looks to expand testing, hard-hit states see surge in cases",6
4642,4642,New round of small business aid to begin amid questions over Trump coronavirus briefings,5
4643,4643,New medical school graduates dive into work on coronavirus front lines,3
4644,4644,Airline workers call for more safety measures amid coronavirus concerns,3
4645,4645,Doctors turn to telemedicine for routine visits as hospitals face coronavirus crisis,3
4646,4646,Nightly News Full Broadcast (April 25th),1
4647,4647,Nightly News Full Broadcast (April 24th),1
4648,4648,Nightly News Full Broadcast (April 23rd),1
4649,4649,Nightly News Full Broadcast (April 22nd),1
4650,4650,Nightly News Full Broadcast (April 21st),1
4651,4651,This program trains prisoners in diving (Part 1),1
4652,4652,This program trains prisoners in diving (Part 2),1
4653,4653,Larry David reflects on two decades of 'Curb Your Enthusiasm' (Part 1),0
4654,4654,Larry David reflects on two decades of 'Curb Your Enthusiasm' (Part 2),0
4655,4655,Auschwitz survivors return to death camp 75 years later (Part 1),2
4656,4656,Auschwitz survivors return to death camp 75 years later (Part 2),2
4657,4657,‘Miracle on Ice’ hockey team reflects on their big win 40 years later (Part 1),3
4658,4658,‘Miracle on Ice’ hockey team reflects on their big win 40 years later (Part 2),3
4659,4659,Embedded with the U.S. Army on a medical mission in Honduras (Part 1),0
4660,4660,Embedded with the U.S. Army on a medical mission in Honduras (Part 2),0
4661,4661,Leading virologist on the best defense against the coronavirus: Facts (Part 1),5
4662,4662,Leading virologist on the best defense against the coronavirus: Facts (Part 2),5
4663,4663,Amputee fashion show inspires more than its models (Part 1),1
4664,4664,Amputee fashion show inspires more than its models (Part 2),1
4665,4665,A conversation with Nelson Mandela days after he was released from prison (Part 1),2
4666,4666,A conversation with Nelson Mandela days after he was released from prison (Part 2),2
4667,4667,Rosa Parks reflects on sparking a movement (Part 1),0
4668,4668,Rosa Parks reflects on sparking a movement (Part 2),0
4669,4669,"Historic ‘To Kill a Mockingbird’ performance free to 18,000 students (Part 1)",1
4670,4670,"Historic ‘To Kill a Mockingbird’ performance free to 18,000 students (Part 2)",1
4671,4671,Texas woman sentenced to 5 years in prison for casting vote in 2016 election while on supervised release,3
4672,4672,Lester Holt in conversation with criminal justice reformer Bryan Stevenson,0
4673,4673,Ava DuVernay says her Netflix series is ‘the biggest thing I’ve ever done’,2
4674,4674,Men known as ‘Central Park Five’ speak out 30 years after wrongful conviction,5
4675,4675,‘Ear Hustle’ co-host to carry on prison podcast that helped win his freedom,0
4676,4676,‘Ear Hustle’ co-host to carry on prison podcast that helped win his freedom (Extended),0
4677,4677,Meek Mill talks using #FreeMeekMill momentum in new criminal justice reform movement,1
4678,4678,Extended interview: Meek Mill talks criminal justice reform,0
4679,4679,Exclusive: Matthew Charles calls prison release ‘unbelievable’,0
4680,4680,Exclusive: Cyntoia Brown’s lawyers on her fight for freedom,0
4681,4681,Man has spent over 26 years in prison for crime he says didn’t commit,3
4682,4682,NFL star Malcolm Jenkins speaks out about bringing social issues into football,2
4683,4683,"Released from prison and then sent back, this man is hoping for the President’s help",1
4684,4684,Meek Mill sits down with Lester Holt for his first in-depth interview since his release from prison,2
4685,4685,Latest Video,1
4686,4686,Most Recent Episode,0
4687,4687,12:44,0
4688,4688,First Read,1
4689,4689,05:52,0
4690,4690,First Read,1
4691,4691,04:53,0
4692,4692,First Read,1
4693,4693,08:20,0
4694,4694,First Read,1
4695,4695,01:44,0
4696,4696,First Read,1
4697,4697,02:37,0
4698,4698,Meet the Press,0
4699,4699,08:35,0
4700,4700,First Read,1
4701,4701,02:31,0
4702,4702,Meet the Press,0
4703,4703,01:26,0
4704,4704,Meet the Press,0
4705,4705,01:10,0
4706,4706,Meet the Press,0
4707,4707,00:48,0
4708,4708,Meet the Press,0
4709,4709,01:14,0
4710,4710,Meet the Press,0
4711,4711,01:28,0
4712,4712,Meet the Press,0
4713,4713,07:56,0
4714,4714,First Read,1
4715,4715,01:04,0
4716,4716,Meet the Press,0
4717,4717,07:56,0
4718,4718,First Read,1
4719,4719,02:48,0
4720,4720,Meet the Press,0
4721,4721,01:14,0
4722,4722,Meet the Press,0
4723,4723,01:32,0
4724,4724,Meet the Press,0
4725,4725,00:48,0
4726,4726,Meet the Press,0
4727,4727,Meet the Press: First Read,1
4728,4728,Meet the Press,0
4729,4729,"The coronavirus has amplified Trump's weaknesses, and muted his strengths",2
4730,4730,News,1
4731,4731,"Meet the Press - April 26, 2020",0
4732,4732,Coronavirus,2
4733,4733,Birx: U.S. needs a 'breakthrough' on antigen testing to aid in reopening,1
4734,4734,On the Trail,1
4735,4735,"Meet the Press Blog: Latest news, analysis and data driving the political discussion",1
4736,4736,Chuck Todd,0
4737,4737,The Chuck ToddCast from Meet the Press,0
4738,4738,First Read Newsletter,2
4739,4739,Full Interviews,0
4740,4740,First Read,1
4741,4741,Full Pence: 'Remarkable to think about the progress' made against COVID-19,4
4742,4742,First Read,1
4743,4743,Full Panel: Bernie Sanders drops out of 2020 race,1
4744,4744,MTP Daily,0
4745,4745,MTP: Compressed,0
4746,4746,02:07,0
4747,4747,First Read,1
4748,4748,02:07,0
4749,4749,First Read,1
4750,4750,02:19,0
4751,4751,First Read,1
4752,4752,02:02,0
4753,4753,2020 Election,0
4754,4754,02:04,0
4755,4755,First Read,1
4756,4756,02:03,0
4757,4757,First Read,1
4758,4758,01:48,0
4759,4759,2020 Election,0
4760,4760,02:13,0
4761,4761,Congress,0
4762,4762,01:45,0
4763,4763,Meet the Press,0
4764,4764,Data Download,1
4765,4765,Sections,0
4766,4766,TV,0
4767,4767,Featured,0
4768,4768,More from NBC,1
4769,4769, Follow NBC News ,1
4770,4770,Chuck Todd: 'We have failed to meet the moment',0
4771,4771,Full Birx: 'We have to have a breakthrough' in testing technology,0
4772,4772,Full N.J. Gov.: 'We have suffered an extraordinary toll',0
4773,4773,Full Dr. Osterholm: 'We're missing the mark in a big way right now' on testing,4
4774,4774,"Full Panel: U.S. cases surpass 900,000",1
4775,4775,Five counties tell next phase of coronavirus story,2
4776,4776,Abrams: Trump 'incited' Kemp to reopen Georgia while Pence nodded 'pathetically',0
4777,4777,Full Abrams: 'Wrongheaded' for Georgia to re-open businesses,0
4778,4778,Gov. Murphy: Metro NY counties 'have been crushed' by COVID-19,1
4779,4779,Birx: Injecting disinfectant 'is not a treatment',0
4780,4780,Birx: Re-opening is not like flipping on a 'light switch',0
4781,4781,DeWine asks protestors to 'observe social distancing',1
4782,4782,DeWine: 'We really need help' from the FDA,2
4783,4783,Jeh Johnson: White House testing capabilities weeks behind schedule,0
4784,4784,Full Panel: 'We're still in the depths of this crisis',1
4785,4785,"Whitmer: Michigan can triple amount of testing, but federal gov. must use the Defense Production Act",0
4786,4786,Full Whitmer & DeWine: 'We can't just turn back to what life was like before COVID-19',2
4787,4787,"Pence responds to Trump's tweets about 'liberating' Michigan, Minnesota",1
4788,4788,Pence: 'We could double' tests once we 'activate all the laboratories',0
4789,4789,Pence: White House is working with governors despite criticism over testing supply shortages,0
4790,4790,'This is mayhem': Bipartisan governors send pleas for federal government to work with states,1
4791,4791,Presidential historian Michael Beschloss offers some historical context to just how many Americans have died from COVID-19,2
4792,4792,MTP Compressed: U.S. braces for surge in cases as coronavirus becomes national emergency,3
4793,4793,MTP Compressed: Fears grow as coronavirus spreads to over half of U.S. states,2
4794,4794,MTP Compressed: Biden wins South Carolina primary; First U.S. patient dies of coronavirus,4
4795,4795,MTP Compressed: Bernie Sanders surges as moderates fail to coalesce around an alternative,0
4796,4796,MTP Compressed: Senators spar over witnesses after first week of Senate impeachment trial,1
4797,4797,MTP Compressed: Battle over witnesses continues ahead of start of Senate impeachment trial,0
4798,4798,MTP Compressed: Iran and impeachment dominate headlines in lead-up to Iowa caucuses,0
4799,4799,MTP Compressed: Partisan divisions remain on impeachment as House Dems draft articles,0
4800,4800,MTP Compressed: Impeachment moves forward as 2020 Dems face questions on campaign trail,0
4801,4801,"For covid job losses, geography is destiny",1
4802,4802,COMING UP...,0
4803,4803,The Thing About Pam ,2
4804,4804,Dateline Showcast,0
4805,4805,13 Alibis,0
4806,4806,DATELINE IN-DEPTH,0
4807,4807,Past Seasons,0
4808,4808,Watch the Current Season,1
4809,4809,Subscribe to our YouTube Channel,1
4810,4810,Dateline Weekly Newsletter,1
4811,4811,Missing in America,1
4812,4812,News,1
4813,4813,Florida woman still missing nearly three months after car found abandoned on railroad tracks,3
4814,4814,News,1
4815,4815,Ohio authorities continue to search for man missing nearly a month,1
4816,4816,News,1
4817,4817,Police searching for Queens man missing two weeks,1
4818,4818,Cold Case Spotlight,1
4819,4819,News,1
4820,4820,"Ten years later, no answers in Bay Shore woman's mysterious disappearance",3
4821,4821,News,1
4822,4822,Murder of UNC student bludgeoned to death in 2012 remains unsolved,1
4823,4823,News,1
4824,4824,Decades-old murder of Iowa teen in 1983 remains unsolved,1
4825,4825,News,1
4826,4826,Search continues for Arkansas woman who vanished from her home in 2016,1
4827,4827,Follow us on Instagram,0
4828,4828,Follow us on Twitter,0
4829,4829,Like us on Facebook,1
4830,4830,POSTCARDS FROM THE FIELD,0
4831,4831,MEET SOME OF THE STAFF,1
4832,4832,CRIME CAPSULES,0
4833,4833,Sections,0
4834,4834,TV,0
4835,4835,Featured,0
4836,4836,More from NBC,1
4837,4837, Follow NBC News ,1
4838,4838,FRI 9/8c SAT 8/7c,0
4839,4839,DATELINE FRIDAY PREVIEW: Before Daylight,1
4840,4840,The SoCo Club,0
4841,4841,"NBC News NOW for undefined,  24",2
4842,4842,Latest Stories,0
4843,4843,02:36,0
4844,4844,02:32,0
4845,4845,01:34,0
4846,4846,04:26,0
4847,4847,01:58,0
4848,4848,01:50,0
4849,4849,03:58,0
4850,4850,03:10,0
4851,4851,03:15,0
4852,4852,02:20,0
4853,4853,Deep Dives,0
4854,4854,05:10,0
4855,4855,01:59,0
4856,4856,04:39,0
4857,4857,05:26,0
4858,4858,03:14,0
4859,4859,03:28,0
4860,4860,02:03,0
4861,4861,04:08,0
4862,4862,03:39,0
4863,4863,02:13,0
4864,4864,More from NBC News NOW,3
4865,4865,02:48,0
4866,4866,02:30,0
4867,4867,02:34,0
4868,4868,03:51,0
4869,4869,02:38,0
4870,4870,02:19,0
4871,4871,Where To Watch,2
4872,4872,Roku,0
4873,4873,FireTV,0
4874,4874,Apple TV,0
4875,4875,iOS,0
4876,4876,Android,0
4877,4877,Pluto TV,0
4878,4878,Sections,0
4879,4879,TV,0
4880,4880,Featured,0
4881,4881,More from NBC,1
4882,4882, Follow NBC News ,1
4883,4883,Denmark to reopen schools for young children,0
4884,4884,"COVID-19 shutters Chinatown in Flushing, Queens: ""Thousands of jobs are lost""",1
4885,4885,Dating app usage spikes amid coronavirus pandemic,2
4886,4886,"Despite warnings, conspiracy theorists push bleach, UV rays as COVID-19 cures",1
4887,4887,Medical staff worry about life after COVID-19 restrictions loosen up,3
4888,4888,‘Community doesn't have to be where you are': Observing Ramadan amid COVID-19,3
4889,4889,Co-parents struggle with custody agreements amid COVID-19 pandemic,1
4890,4890,Living with an eating disorder during the coronavirus pandemic,2
4891,4891,Former Starbucks CEO expects 30 percent of businesses will permanently close,1
4892,4892,How one Michigan billionaire is using Twitter to help people during the pandemic,2
4893,4893,Inside look at the environmental impact of global lockdown,3
4894,4894,California town tests every resident for COVID-19,1
4895,4895,"Into America: The link between COVID-19, air pollution, and race",1
4896,4896,'This is a tsunami': Queens food pantry overwhelmed in face of COVID-19,2
4897,4897,Americans pivot to politics as election year continues amid global pandemic,1
4898,4898,Students stuck on college campuses describe life while social distancing,2
4899,4899,Doctor on young COVID victims: It ‘takes an emotion toll on everyone’,2
4900,4900,Hotspot hospitals on verge of financial collapse,0
4901,4901,Veteran with lung cancer shares fears of COVID-19: ‘If I catch it…it will kill me’,1
4902,4902,4/20 in 2020: Marijuana market booms amid coronavirus pandemic,2
4903,4903,Music as a lifeline during coronavirus quarantine,3
4904,4904,How contact tracing could prevent second COVID-19 outbreak,2
4905,4905,Protesters in Pennsylvania say coronavirus lockdown is an ‘overreaction’,3
4906,4906,Los Angeles schools have served 10 million meals during lockdown,1
4907,4907,"U.S. crude oil drops to lowest level in history, dragging down stocks",2
4908,4908,This work will ‘always be worth it’: frontline medical staff share their stories,2
4909,4909,Andy Lack Journalism is under attack from coronavirus and Trump. But we're winning.,2
4910,4910,A LIGHT IN THE DARKNESS,1
4911,4911,NO ONE'S PERFECT,1
4912,4912,America's obsession with Trump lets health officials like Dr. Fauci off the hook,0
4913,4913,DON'T TEST THIS HYPOTHESIS,0
4914,4914,Drinking bleach will not cure coronavirus. Here's what it could do instead.,3
4915,4915,NEVER NOT JUDGING,1
4916,4916,Those 'COVID-19' weight gain jokes reveal the toxic power of diet culture,1
4917,4917,HOW TO HELP,1
4918,4918,Kids miss more than just class with schools closed,1
4919,4919,IT'S GOOD TO BE BAD,2
4920,4920,HBO's 'Bad Education' is a riveting true story — and one of 2020's best movies,2
4921,4921,THINKing about coronavirus,4
4922,4922,MORE THAN JUST YOU,1
4923,4923,DIVIDE AND PROTECT,0
4924,4924,THEY KNOW THE TRUTH,2
4925,4925,ACTIONS NOT BLOVIATIONS,0
4926,4926,PREDICTABLE PATHWAYS,2
4927,4927,THE PEOPLE LEFT BEHIND,1
4928,4928,NOTHING TO SNEEZE AT,1
4929,4929,EVERYTHING IS DIFFERENT,1
4930,4930,LIVE THROUGH THIS,0
4931,4931,DON'T LEAVE IT TO BEAVER,1
4932,4932,FINDING THE FUNNY BONE,1
4933,4933,STOPPING THE 'DOCS',0
4934,4934,"BUSINESS, INTERRUPTED",0
4935,4935,LET'S GET READY TO COUGH,0
4936,4936,ACCOUNTABILITY SOMEHOW,0
4937,4937,THE NEW NORMAL,1
4938,4938,PRACTICALLY MEDEIVAL,0
4939,4939,FLASH OF BRILLIANCE,0
4940,4940,THAT'S FIT TO PRINT,0
4941,4941,AMERICAN EXPERIMENT,0
4942,4942,LATEST VIDEOS,1
4943,4943,Get the THINK Newsletter,2
4944,4944,We want to hear what you THINK,2
4945,4945,Follow THINK on Twitter,1
4946,4946,ICYMI,0
4947,4947,Hot Take,0
4948,4948,Trump's disinfectant comments show how dangerous his disdain for science truly is,0
4949,4949,Hot Take,0
4950,4950,Meghan Markle is losing her bitter war against the tabloids. Here's why.,1
4951,4951,Culture Matters,0
4952,4952,Chris Hemsworth is a hilarious actor — but his muscles are holding him back,1
4953,4953,Self Explanatory,0
4954,4954,"Ramadan looks different this year. So, too, are our obligations to each other.",2
4955,4955,THINKing about 2020,2
4956,4956,Hot Take,0
4957,4957,Why Trump's new immigration ban isn't really about saving American jobs,3
4958,4958,Hot Take,0
4959,4959,Kemp doesn't care who is hurt by reopening Georgia's businesses,0
4960,4960,Hot Take,0
4961,4961,Lockdown protests in California show the state's conservatism is still infectious,1
4962,4962,Hot Take,0
4963,4963,Christianity in the age of Trump has lost its way. Here's how to get back on track.,4
4964,4964,Self Explanatory,0
4965,4965,I own a small business that needs a PPP loan. But corporations got them instead.,1
4966,4966,Hot Take,0
4967,4967,Fiona Apple's brilliant new album speaks truth to male power with eloquent fury,1
4968,4968,Hot Take,0
4969,4969,Trump's 'liberate' tweets reveal even more GOP hypocrisy. Here are the receipts.,3
4970,4970,WHAT DO YOU THINK?,1
4971,4971,We want to hear what you THINK. Please submit a letter to the editor.,3
4972,4972,RETHINK YOUR WEEK,1
4973,4973,Want great THINK content delivered weekly to your inbox? Sign up for our newsletter!,3
4974,4974,Hot Take,0
4975,4975,Kenya Barris dares you to laugh at (or with) a black Larry David in '#blackAF',0
4976,4976,Thought Experiment,0
4977,4977,Trump's 'total authority' boast was nonsense. What it represents was dangerous.,0
4978,4978,Hot Take,0
4979,4979,China is blatantly rewriting its coronavirus narrative — as the world watches,4
4980,4980,Hot Take,0
4981,4981,'Mrs. America' is a timely lesson in how feminists lose winnable battles,1
4982,4982,Thought Experiment,0
4983,4983,Capitalism is failing Trump's white working class. And the results are deadly.,0
4984,4984,Hot Take,0
4985,4985,Looking for the next 'Downtown Abbey?' Two new series are battling for the crown,3
4986,4986,Hot Take,0
4987,4987,ICE's coronavirus response is 'business as usual.' That puts everyone at risk.,3
4988,4988,Hot Take,0
4989,4989,'Killing Eve' Season 3 is back early — and so is TV's best cat-and-mouse couple,1
4990,4990,Self Explanatory,0
4991,4991,A year ago I was banned from the military. Here's why I won't give up my dream.,2
4992,4992,Thought Experiment,0
4993,4993,Easter 2020 reveals how God can show up in unexpected ways — even on Zoom,2
4994,4994,Thought Experiment,0
4995,4995,Democrats should stop taking corporate PAC money to regain voter trust,1
4996,4996,Thought Experiment,0
4997,4997,Trump's Navy disaster is much bigger than either Sec. Modly or Capt. Crozier,0
4998,4998,Thought Experiment,0
4999,4999,"With nowhere for women to go wax our lips or brows, let's just be hairy together",2
5000,5000,Self Explanatory,0
5001,5001,"Everyone's cooking during quarantine. And finally, so am I.",1
5002,5002,Hot Take,0
5003,5003,Why all of Hollywood will be watching 'Trolls World Tour's' unorthodox premiere,2
5004,5004,Self Explanatory,0
5005,5005,I went from teaching your kids to homeschooling mine. Here are some lessons.,1
5006,5006,Hot Take,0
5007,5007,Coronavirus in the U.S. is a tale of two pandemics. New CDC numbers prove it.,4
5008,5008,Self Explanatory,0
5009,5009,9/11 was this century's first great test. Coronavirus is the second.,4
5010,5010,Hot Take,0
5011,5011,Celebrities were never 'just like us.' Their coronavirus cluelessness proves it.,3
5012,5012,Self Explanatory,0
5013,5013,'Modern Family's' finale is the end of an era — and the beginning of a new one,3
5014,5014,Self Explanatory,0
5015,5015,Passover during a plague reveals modern-day pharaohs and the tyranny of capitalism,1
5016,5016,Hot Take,0
5017,5017,Coronavirus reveals the truth about America's 'essential' worker caste system,3
5018,5018,Thought Experiment,0
5019,5019,The time to decide on end-of-life care is now — when you're not sick,4
5020,5020,Hot Take,0
5021,5021,Sorry to the haters: Kim Kardashian's criminal justice efforts are the real deal,1
5022,5022,Why Is This Happening?,0
5023,5023,Balancing NBA stardom and Turkish exile with Enes Kanter,0
5024,5024,Hot Take,0
5025,5025,Why Wisconsin's ill-planned and ill-fated primary is a big 2020 wake-up call,0
5026,5026,Self Explanatory,0
5027,5027,The student loan system is all but designed to keep us struggling with debts,0
5028,5028,Hot Take,0
5029,5029,Here's the real reason Democrats aren't investigating Trump's coronavirus errors,3
5030,5030, Follow think ,1
5031,5031,More from NBC,1
5032,5032,The coronavirus takes more than Native Americans' lives. It erases our culture.,3
5033,5033,Masks in America aren't treated equally. Neither are the people who wear them.,2
5034,5034,Earth Day amid coronavirus shows the dangers of ignoring science,3
5035,5035,Trump's coronavirus response wasn't perfect. But he's done a lot of things right,6
5036,5036,The South was devastated by state-enabled poverty. COVID-19 will do it again.,2
5037,5037,Coronavirus checks aren't coming for many minority Americans. Here's why,4
5038,5038,My coronavirus symptoms were 'mild.' Read this before breaking quarantine.,2
5039,5039,The coronavirus will change how we vacation. That'll probably be good for us.,3
5040,5040,My grandmother survived the Holocaust. She's teaching me how to find hope today.,2
5041,5041,Coronavirus could set back American gender roles for years to come,4
5042,5042,'SNL's' remote show highlights the value (and limits) of pandemic humor,0
5043,5043,It's time to retire celebrity wellness 'docs' like Dr. Oz — coronavirus shows why,3
5044,5044,Closing my restaurants hurt many people. Insurance was supposed to help us.,2
5045,5045,There is nothing 'essential' about the WWE. Arguing otherwise is idiocy.,3
5046,5046,A surge in coronavirus lawsuits is coming. That's a good thing.,4
5047,5047,Coronavirus unemployment numbers are staggering. The real number is higher.,2
5048,5048,What the Black Plague can teach us about how society shifts in a pandemic,3
5049,5049,Only one Founding Father would be worth listening to about the coronavirus,5
5050,5050,Fake news about the coronavirus is everywhere while real local news is dying,5
5051,5051,We must wash our hands to end the pandemic. So why are people sans water?,1
5052,5052,How a small blog from 2004 is keeping the golden age of the web alive,2
5053,5053,Trump can probably only beat Biden by cheating. And Democrats can stop him.,0
5054,5054,Jim Clyburn: My friend Joe Biden isn't perfect. Here's how he can do better.,2
5055,5055,Whom Joe Biden picks for vice president matters less than that he picks her soon,0
5056,5056,"Welcome to the Biden juggernaut, Mike Bloomberg! It's time to go beat Trump.",2
5057,5057,Bernie Sanders dropped out because his 'progressive majority' doesn't exist,1
5058,5058,The biggest winner on Super Tuesday wasn't on the Democratic ballot,2
5059,5059,Quick Fix,0
5060,5060,Coronavirus - How to Help,3
5061,5061,How to help senior citizens cope with the coronavirus pandemic,3
5062,5062,Good Eats,1
5063,5063,Healthier versions of your favorite Asian noodle dishes,0
5064,5064,"BetterAgenda
",1
5065,5065,5 Things to Make Today BETTER,5
5066,5066,What to Cook This WeekSEE ALL,1
5067,5067,Diet & Fitness,0
5068,5068,Good Eats,1
5069,5069,Eggscellent Idea,0
5070,5070,Brunch Faves,0
5071,5071,Cold weather cures,1
5072,5072,Sweet & Spicy,0
5073,5073,Taste of the Islands,1
5074,5074,Set It and Forget It,0
5075,5075,Cold Weather Cures,1
5076,5076,Fast Fix,0
5077,5077,Better than Takeout,2
5078,5078,"Crunch, crunch",0
5079,5079,Better eats,1
5080,5080,Quick Fix,0
5081,5081,One Pan Wonders,1
5082,5082,One-Pot Wonders,1
5083,5083,Weeknight Eats,0
5084,5084,Weekend Wings,0
5085,5085,Salad Days,1
5086,5086,Dig Deeper,0
5087,5087,Shop BETTERSEE ALL,2
5088,5088,Pro Tips,0
5089,5089,New Kicks,1
5090,5090,Get Cozier,0
5091,5091,For the Gear Head,0
5092,5092,For the Home Chef,0
5093,5093,For Your BFF,0
5094,5094,For the Jet Setter,0
5095,5095,For Your Work Wife,0
5096,5096,For the Gym Rat,0
5097,5097,DEBT DIARIES,0
5098,5098,A BETTER Way,2
5099,5099,I Tried It,0
5100,5100,A Bright Idea,1
5101,5101,Debt-Free Lifestyle,1
5102,5102,One-Two Punch,1
5103,5103,A BETTER 2020,1
5104,5104,MIND YOUR MONEY,2
5105,5105,Eat This and Then That,0
5106,5106,Stick to It,0
5107,5107,Give It a Month,0
5108,5108,Slow and Steady,0
5109,5109,Clean Sweep,0
5110,5110,Recharge + Reconnect,0
5111,5111,PAY IT OFF,0
5112,5112,Move More,1
5113,5113,ICYMI ,0
5114,5114,One Small Thing,2
5115,5115,How to help people who have lost their jobs due to coronavirus,4
5116,5116,One Small Thing,2
5117,5117,"Practical ways to make your bathroom eco-friendly— and save some money, too",5
5118,5118,Diet & Fitness,0
5119,5119,How to cook asparagus like a pro — plus 7 recipes you'll love,2
5120,5120,ICYMI,0
5121,5121,One Small Thing,2
5122,5122,How to tackle climate change in the kitchen,2
5123,5123,Diet & Fitness,0
5124,5124,5 free workouts you can do using your Amazon Prime membership,1
5125,5125,Diet & Fitness,0
5126,5126,4 workouts you can do in your living room in under 30 minutes,1
5127,5127,ICYMI,0
5128,5128,One Small Thing,2
5129,5129,Easy ways to boost your health while under quarantine,2
5130,5130,"A ROOM-BY-ROOM CLEANING GUIDE
",0
5131,5131,BETTER Guides,1
5132,5132,Bedroom,0
5133,5133,Kitchen,0
5134,5134,Living Room,0
5135,5135,Bathroom,0
5136,5136,One Small Thing,2
5137,5137,Trying to make healthier meals? Your Instant Pot can help,1
5138,5138,One Small Thing,2
5139,5139,Can 'windowed work' help ease the stress of working from home?,0
5140,5140,One Small Thing,2
5141,5141,I finally got an Instant Pot. These are the recipes that won me over.,0
5142,5142,Diet & Fitness,0
5143,5143,Stuck at home? Now's the time to try sous vide,2
5144,5144,Diet & Fitness,0
5145,5145,Sous vide spicy fish tacos,0
5146,5146,Diet & Fitness,0
5147,5147,Sous vide sides: Perfect asparagus with tomato-basil vinaigrette,0
5148,5148,Diet & Fitness,0
5149,5149,Looking for something to sous vide? Try these crispy-skinned chicken thighs,3
5150,5150,A Better Way,2
5151,5151,3 ways to zhuzh up store-bought crescent rolls,2
5152,5152,better,1
5153,5153,Upgrade your next gathering with a graze board,0
5154,5154,A BETTER DAY,2
5155,5155,Morning Mantras,1
5156,5156,Stay Woke,0
5157,5157,60-second hacks,0
5158,5158,Quick Fixes,0
5159,5159,Spark Joy,0
5160,5160,Pro Tips,0
5161,5161,Your Brain On,0
5162,5162,SCROLL ON ,0
5163,5163,A Better Way,2
5164,5164,Cleaning stressing you out? Here's a better way to stay on top of it,4
5165,5165,Diet & Fitness,0
5166,5166,A 5-minute routine to strengthen and tone your arms,2
5167,5167,One Small Thing,2
5168,5168,"How to help hospital workers, small businesses and others affected by COVID-19",2
5169,5169,SCROLL ON,0
5170,5170,One Small Thing,2
5171,5171,11 ways to help small businesses right now,4
5172,5172,One Small Thing,2
5173,5173,Make life simple with these easy sheet pan suppers,2
5174,5174,Diet & Fitness,0
5175,5175,Have ground beef? Here are 8 recipes your family will love,2
5176,5176,SCROLL ON,0
5177,5177,Coronavirus,2
5178,5178,"How to help doctors, nurses and hospital staff on the front lines of COVID-19",3
5179,5179,Inspired Sips,0
5180,5180,Spring Spritzer,0
5181,5181,Mocktail Party,0
5182,5182,Play Ball,0
5183,5183,Sips of Summer,0
5184,5184,Wellness,0
5185,5185,I tried it: Going gray,0
5186,5186,A Better Way,2
5187,5187,Have a head of cabbage in the fridge? Try one of these delicious recipes,3
5188,5188,One Small Thing,2
5189,5189,Need a Sunday dinner idea? Try this slow cooker fall-apart braised pork with cabbage and apples,2
5190,5190,One Small Thing,2
5191,5191,"Experts say ordering takeout is safe — here's how to keep it healthy, too",3
5192,5192,Diet & Fitness,0
5193,5193,A 30-day abdominal workout to tone your core,3
5194,5194,A Better Way,2
5195,5195,Knocking back too many 'quarantinis'? Here's how to keep drinking in check,3
5196,5196,Coronavirus,2
5197,5197,Cooking tips for cooped up families — from culinary-minded moms,1
5198,5198,Diet & Fitness,0
5199,5199,Cooking more at home? Roasting vegetables makes healthy eating easier,3
5200,5200,One Small Thing,2
5201,5201,Miss your walking and running buddies? Download these apps to stay connected,1
5202,5202,A Better Way,2
5203,5203,7 ways to set boundaries when working from home,2
5204,5204,Diet & Fitness,0
5205,5205,Miss the gym? Stream these live workouts for free,1
5206,5206,One Small Thing,2
5207,5207,This classic cheesy beef lasagna is the Sunday dinner your family craves,2
5208,5208,NBC News NOW,2
