,id,headlines,ChanceOfVirality
5649,5649,Inside the humanitarian mission to help  Venezuelan refugees (Part 2),1
5650,5650,Nightly Films,0
5651,5651,Extended interview: 'Wicked' star on going from finance to Broadway  (Part 1),1
5652,5652,Nightly Films,0
5653,5653,Extended interview: 'Wicked' star on going from finance to Broadway  (Part 2),1
5654,5654,Santa Rosa: After the Ashes,0
5655,5655,Nightly Films,0
5656,5656,After the Ashes: When the fires came (Part 1),0
5657,5657,Nightly Films,0
5658,5658,After the Ashes: When the fires came (Part 2),0
5659,5659,Nightly Films,0
5660,5660,After the Ashes: Back to school (Part 1),0
5661,5661,Nightly Films,0
5662,5662,After the Ashes: Back to school (Part 2),0
5663,5663,Nightly Films,0
5664,5664,"After the Ashes: Sonoma strong, Sonoma uncertain (Part 1)",0
5665,5665,Nightly Films,0
5666,5666,"After the Ashes: Sonoma strong, Sonoma uncertain (Part 2)",0
5667,5667,Nightly Films,0
5668,5668,After the Ashes: The cost of doing business (Part 1),0
5669,5669,Nightly Films,0
5670,5670,After the Ashes: The cost of doing business (Part 2),0
5671,5671,Nightly Films,0
5672,5672,After the Ashes: Housing crisis (Part 1),0
5673,5673,Nightly Films,0
5674,5674,After the Ashes: Housing crisis (Part 2),0
5675,5675,Nightly Films,0
5676,5676,After the Ashes: Saving Safari West (Part 1),0
5677,5677,Nightly Films,0
5678,5678,After the Ashes: Saving Safari West (Part 2),0
5679,5679,This Month in History: November,0
5680,5680,Nightly Films,0
5681,5681,This Month in History: The Fall of the Berlin Wall (Part 1),1
5682,5682,Nightly Films,0
5683,5683,This Month in History: The Fall of the Berlin Wall (Part 2),1
5684,5684,Nightly Films,0
5685,5685,Jonestown survivor recounts massacre 40 years later (Part 1),3
5686,5686,Nightly Films,0
5687,5687,Jonestown survivor recounts massacre 40 years later (Part 2),3
5688,5688,This month in history,0
5689,5689,Nightly Films,0
5690,5690,"This Month In History, The Chilean Miners Rescue: 70 days underground (Part 1)",1
5691,5691,Nightly Films,0
5692,5692,"This Month In History, The Chilean Miners Rescue: How it happened (Part 2)",1
5693,5693,Nightly Films,0
5694,5694,"This Month in History, Steve Jobs: How he made devices desired objects (Part 1)",1
5695,5695,Nightly Films,0
5696,5696,"This Month in History, Steve Jobs: How his ideas changed our lives (Part 2)",0
5697,5697,Nightly Films,0
5698,5698,"This Month in History, O.J. Simpson: Building up to the verdict (Part 1)",1
5699,5699,Nightly Films,0
5700,5700,"This Month in History, O.J. Simpson: US grapples with the verdict (Part 2)",0
5701,5701,Nightly Films,0
5702,5702,Sections,0
5703,5703,TV,0
5704,5704,Featured,0
5705,5705,More from NBC,1
5706,5706,Follow NBC News,1
5707,5707,Jon Bon Jovi and Dorothea Bongiovi’s philanthropic journey off the rock and roll stage (Part 1),0
5708,5708,Actor Jimmy Smits quit the football team to join the drama club - and launched a long career in TV (Part 2),1
5709,5709,How Zainab Salbi took control of her own story and founded a global women's rights organization (Part 1),2
5710,5710,How Zainab Salbi took control of her own story and founded a global women's rights organization (Part 2),2
5711,5711,Kal Penn on the comedy series he always wanted to make & navigating Hollywood (Part 1),5
5712,5712,Kal Penn on the comedy series he always wanted to make & navigating Hollywood (Part 2),5
5713,5713,Curtis Martin didn’t particularly like playing football – but went on to dominate the NFL anyway (Part 1),1
5714,5714,Curtis Martin didn’t particularly like playing football – but went on to dominate the NFL anyway (Part 2),1
5715,5715,Queen Latifah talks early career success and giving back to the next generation (Part 1),1
5716,5716,Queen Latifah talks early career success and giving back to the next generation (Part 2),1
5717,5717,How boxing legend Laila Ali navigated her career after leaving the ring (Part 1),0
5718,5718,How boxing legend Laila Ali navigated her career after leaving the ring (Part 2),0
5719,5719,Fashion designer Isaac Mizrahi on gender identity & the duality of success,0
5720,5720,"How Kate Hudson manages a Hollywood career, a $300 million dollar business, and her family",1
5721,5721,How 10 years of rejection by NASA taught Peggy Whitson to be a better astronaut,4
5722,5722,Buddhist monk to Headspace co-founder: Andy Puddicombe's journey to mindfulness,2
5723,5723,Privacy and Power: What your apps say about you (Part 1),1
5724,5724,Privacy and Power: What your apps say about you (Part 2),1
5725,5725,Privacy and Power: The Illusion of choice (Part 1),0
5726,5726,Privacy and Power: The Illusion of choice (Part 2),0
5727,5727,Why people make false confessions (Part 1),2
5728,5728,Why people make false confessions (Part 2),2
5729,5729,Why being a corrections officer is among the toughest jobs (Part 1),1
5730,5730,Why being a corrections officer is among the toughest jobs (Part 2),1
5731,5731,Angola inmate on changing his life in prison (Part 1),1
5732,5732,Angola inmate on changing his life in prison (Part 2),1
5733,5733,"Stonewall 50: The ‘homophile movement’ is born (Episode 1, Part 2)",2
5734,5734,"Stonewall 50: A bar raid fuels a revolution (Episode 2, Part 1)",2
5735,5735,"Stonewall 50: ‘They had to see us as powerful’ (Episode 2, Part 2)",3
5736,5736,"Stonewall 50: No more Mr. Nice Gay (Episode 3, Part 1)",3
5737,5737,"Stonewall 50: Activists organize NYC’s first Pride march (Episode 3, Part 2)",3
5738,5738,"Stonewall 50: Looking back but moving forward (Episode 4, Part 1)",3
5739,5739,"Stonewall 50: The place 'where Pride began' (Episode 4, Part 2)",3
5740,5740,After the Ashes: When the fires came (Part 1),0
5741,5741,Daughter's cancer diagnosis leads mom to fight for answers,0
5742,5742,NBC News,1
5743,5743,Left Field,0
5744,5744,Dumped: Nursing home evictions a reality for some poor patients,0
5745,5745,Left Field,0
5746,5746,Losing our religion: Finding meaning beyond the pew,0
5747,5747,What is NBC Left Field?,0
5748,5748,leftfield,0
5749,5749,Introducing NBC Left Field,0
5750,5750,News,1
5751,5751,Subscribe on YouTube!,1
5752,5752,Climate in Crisis,0
5753,5753,Army divers go deep in Puget Sound to target derelict fishing nets,0
5754,5754,leftfield,0
5755,5755,Climate change: How did we get here?,1
5756,5756,Latest,0
5757,5757,Left Field,0
5758,5758,Why the Hawaii telescope protests aren't going anywhere,1
5759,5759,Left Field,0
5760,5760,Detox in jail: Treating opioid use behind bars,0
5761,5761,Left Field,0
5762,5762,Policing mental illness: How San Antonio tackles the crisis,0
5763,5763,Latest,0
5764,5764,Left Field,0
5765,5765,Escaping burnout: Using meditation to set a different course,1
5766,5766,Left Field,0
5767,5767,Tackling America's loneliness epidemic,1
5768,5768,Left Field,0
5769,5769,"Don't ask, don't tell' veteran becomes first Stonewall park ranger",3
5770,5770,Latest,0
5771,5771,leftfield,0
5772,5772,Choose NBC Left Field's next story. Welcome to Tag!,0
5773,5773,leftfield,0
5774,5774,Path to Radicalization': Parents recruited by white nationalists,0
5775,5775,leftfield,0
5776,5776,"In cashless Sweden, church donations are going digital",0
5777,5777,Follow LeftField,0
5778,5778,More from NBC,1
5779,5779,Asian America,0
5780,5780,Federal agencies are doing little about the rise in anti-Asian hate,3
5781,5781,Asian America,0
5782,5782,Asian American restaurateurs are raising money for laid-off staff,1
5783,5783,Asian America,0
5784,5784,Jeremy Lin on Asian American pride amid rising racism,0
5785,5785,Asian America,0
5786,5786,"For some AAPIs, ties to Asia Pacific region strengthen resolve to fight climate change",0
5787,5787,Opinion,0
5788,5788,Coronavirus checks aren't coming for many minority Americans. Here's why,4
5789,5789,Asian America,0
5790,5790,Covering Trump campaign led reporter to find his roots,0
5791,5791,Asian America,0
5792,5792,Vietnamese refugee went from 7-Eleven cashier to resettling thousands,0
5793,5793,Coronavirus,2
5794,5794,Health care workers stand against protesters opposing coronavirus lockdown in Colorado,3
5795,5795,Coronavirus,2
5796,5796,Trump appears to equate Chinatown with China,0
5797,5797,Asian America,0
5798,5798,How AAPI groups are changing census outreach amid coronavirus,3
5799,5799,Coronavirus,2
5800,5800,Korean barbecue spots pivot to become meat markets in Southern California,2
5801,5801,Coronavirus,2
5802,5802,Biden criticizes Trump in statement against anti-Asian coronavirus racism,2
5803,5803,Coronavirus,2
5804,5804,"Vietnamese-owned nail salons donate thousands of masks, gloves, more to hospitals",2
5805,5805,Asian America,0
5806,5806,Rep. Ted Lieu responds to being called an 'agent of China',2
5807,5807,Asian America,0
5808,5808,Trump ad slammed for depicting first U.S. Chinese American governor as Chinese official,1
5809,5809,Coronavirus,2
5810,5810,Smashed windows and racist graffiti: Vandals target Asian Americans,0
5811,5811,Coronavirus,2
5812,5812,Senate Democrats call for action on anti-Asian bias,0
5813,5813,Asian America,0
5814,5814,Anti-Asian attacks surge since the start of the COVID-19 outbreak,3
5815,5815,Coronavirus,2
5816,5816,How to help struggling Asian American communities amid coronavirus pandemic,3
5817,5817,Asian America,0
5818,5818,Tigertail' director Alan Yang on the unspoken stories behind Asian parents' journey to America,1
5819,5819,FEATURED,0
5820,5820,More stories,1
5821,5821,Coronavirus,2
5822,5822,Asian Americans use social media to drown out bigotry,3
5823,5823,Coronavirus,2
5824,5824,"Woman needed stitches after anti-Asian hate crime attack on city bus, NYPD says",2
5825,5825,Coronavirus,2
5826,5826,Japanese Americans speak out against Andrew Yang's call for Asian Americans to display patriotism,1
5827,5827,More stories,1
5828,5828,Coronavirus,2
5829,5829,We're nesting. We prepared his room': Families adopting children from China anxiously wait,0
5830,5830,Asian America,0
5831,5831,The soft power of New York's China Institute,1
5832,5832,Asian America,0
5833,5833,Poet Cathy Park Hong on 'Minor Feelings' and this moment in Asian America,1
5834,5834,More stories,1
5835,5835,Coronavirus,2
5836,5836,"Black, Asian and Hispanic House caucus chairs unite in 'no tolerance' for coronavirus racism",2
5837,5837,Sections,0
5838,5838,TV,0
5839,5839,Featured,0
5840,5840,More from NBC,1
5841,5841,Follow NBC News,1
5842,5842,Coronavirus,2
5843,5843,"For students in rural Puerto Rico, remote learning amid coronavirus is a tough challenge",2
5844,5844,msnbc,0
5845,5845,The president is harmful to your health': San Juan mayor on COVID-19 response,1
5846,5846,Culture Matters,0
5847,5847,Penny Dreadful: City of Angels' explores violence against Mexican Americans in L.A.,0
5848,5848,Coronavirus,2
5849,5849,Appreciation caravans' honor California's essential farmworkers,0
5850,5850,Coronavirus,2
5851,5851,"Few Hispanic business owners got coronavirus relief loans, Latino survey finds",2
5852,5852,Culture Matters,0
5853,5853,"In third, final season, 'Vida' nails Latinx identity, complexity",0
5854,5854,Coronavirus,2
5855,5855,"Coronavirus package falls short for lenders to Latino, minority businesses",2
5856,5856,Opinion,0
5857,5857,Why Trump's new immigration ban isn't really about saving American jobs,3
5858,5858,OUT News,2
5859,5859,"They're hunting us': Two killed in Puerto Rico were trans women, activists say",0
5860,5860,Latino,0
5861,5861,Guatemalan wrongly deported amid coronavirus crisis is reunited with family in U.S.,2
5862,5862,Coronavirus,2
5863,5863,"L.A. street vendors, struggling in the coronavirus pandemic, get lifeline",4
5864,5864,Latino,0
5865,5865,"L.A. street vendors, banned from selling amid coronavirus, get lifeline from community group",3
5866,5866,Coronavirus,2
5867,5867,"More Florida Latino immigrant families, amid coronavirus job losses, seek food donations",4
5868,5868,Coronavirus,2
5869,5869,"In Peru, bodies mount and masks are reused with region's second highest coronavirus cases",3
5870,5870,Coronavirus,2
5871,5871,"Isolated indigenous tribes risk extinction from coronavirus, experts say",2
5872,5872,Latino,0
5873,5873,"What's holding America back? Racial hostility, author Eduardo Porter says",1
5874,5874,Opinion,0
5875,5875,Coronavirus checks aren't coming for many minority Americans. Here's why,4
5876,5876,Latino,0
5877,5877,"Venezuela government, opposition begin secret talks amid coronavirus pandemic, sources say",2
5878,5878,Coronavirus,2
5879,5879,Ex-astronaut José Hernández has NASA-approved tips to stay sane in isolation,0
5880,5880,Coronavirus,2
5881,5881,Peru has second highest coronavirus cases in Latin America,4
5882,5882,Coronavirus,2
5883,5883,"As Latinos lose jobs, remittances to their relatives in Latin America dry up",2
5884,5884,Culture Matters,0
5885,5885,"Julia Alvarez talks about her novel 'Afterlife,' isolation and sisterhood",2
5886,5886,Latino,0
5887,5887,Guatemalan suddenly deported under coronavirus 'emergency' measures readmitted to U.S.,2
5888,5888,Coronavirus,2
5889,5889,Puerto Rico mayors work to fight coronavirus with few tests available,2
5890,5890,Coronavirus,2
5891,5891,California coronavirus aid treats undocumented workers as essential,2
5892,5892,Coronavirus,2
5893,5893,I just wanted my son back': Americans stranded in Peru,1
5894,5894,Culture Matters,0
5895,5895,American Tacos' author explores 'Mexico's gift to the world',2
5896,5896,Coronavirus,2
5897,5897,Latinos' coronavirus deaths at meat processing plant raise alarms about worker safety,4
5898,5898,Culture Matters,0
5899,5899,"Abby Jimenez's 'The Happy Ever After Playlist' explores grief, healing and humor",0
5900,5900,Coronavirus,2
5901,5901,Thousands of DACA health care workers fight coronavirus — and worry about their fate,3
5902,5902,Opinion,0
5903,5903,ICE's coronavirus response is 'business as usual.' That puts everyone at risk.,3
5904,5904,Latino,0
5905,5905,The Beauty and the Baker's' Nathalie Kelley talks about the new Latino TV series,2
5906,5906,Sections,0
5907,5907,TV,0
5908,5908,Featured,0
5909,5909,More from NBC,1
5910,5910,Follow NBC News,1
5911,5911,Coronavirus,2
5912,5912,Critics say police target minorities more than white protesters over social distancing,2
5913,5913,Joe Biden,0
5914,5914,Biden says he'd pick Michelle Obama as vice president 'in a heartbeat',2
5915,5915,Culture Matters,0
5916,5916,Oprah laughs as partner Stedman Graham gives his first haircut,2
5917,5917,BLK features,0
5918,5918,More from BLK,1
5919,5919,The Last Dance' begins: Michael Jordan's career gets long-awaited retelling,0
5920,5920,The South was devastated by state-enabled poverty. Coronavirus will do it again.,3
5921,5921,Black Miami doctor handcuffed while helping homeless during pandemic,0
5922,5922,Taraji P. Henson creates campaign to offer African Americans therapy during pandemic,0
5923,5923,Michelle Obama launches weekly reading series for children,0
5924,5924,"For many black women during salon closures, home styling is a hair-raising challenge",1
5925,5925,China accused of discriminating against Africans as part of coronavirus fight,2
5926,5926,Mamoudou Athie on 'ruining takes' and  avoiding 'black trauma' in 'Uncorked',0
5927,5927,Kenya Barris dares you to laugh at (or with) a black Larry David in '#blackAF',0
5928,5928,Colin Kaepernick launches coronavirus relief fund to aid black and brown communities,2
5929,5929,"More deaths from coronavirus, few federal solutions drive black leaders to take action",4
5930,5930,McDonald's apologizes after restaurant in China bans black people,1
5931,5931,Black scientists hope to begin testing antiviral drug for coronavirus in two weeks,3
5932,5932,Kanye West implies he plans to vote for Donald Trump in 2020,0
5933,5933,Miami doctor says being handcuffed while doing good deed 'was really humiliating',3
5934,5934,Minnesota Timberwolves star Karl-Anthony Towns' mother dies due to complications from COVID-19,1
5935,5935,Black health experts say surgeon general's comments reflect lack of awareness of black community,0
5936,5936,Oprah speaks out about impact of coronavirus on African American community,3
5937,5937,Oprah stresses seriousness of coronavirus on black community: 'It's taking us out',3
5938,5938,"Icon' Earl Graves championed, embodied black business success",1
5939,5939,NBCBLK,0
5940,5940,Coronavirus,2
5941,5941,Coronavirus,2
5942,5942,NBCBLK,0
5943,5943,Coronavirus,2
5944,5944,Opinion,0
5945,5945,Coronavirus,2
5946,5946,Latest video,1
5947,5947,David Gura,0
5948,5948,Wisconsin community leaders work to boost voter turnout ahead of 2020,1
5949,5949,Culture Matters,0
5950,5950,"Is Black History Month still relevant? 'Absolutely yes,' one historian says",1
5951,5951,NBCBLK,0
5952,5952,Kansas City residents react to removing Martin Luther King's name from street,0
5953,5953,NBCBLK,0
5954,5954,Black entrepreneurs struggle to join legal weed industry,0
5955,5955,Nightly News,1
5956,5956,Hollywood takes on Harriet Tubman’s story,1
5957,5957,Morning Joe,0
5958,5958,"Slave Play' writer seeks 'realistic, honest' discussion",2
5959,5959,Donald Trump,0
5960,5960,"Tim Scott on Trump tweet: ‘I wouldn’t use the word lynching,’ calls impeachment ‘political death row’",0
5961,5961,Sections,0
5962,5962,TV,0
5963,5963,Featured,0
5964,5964,More from NBC,1
5965,5965,Follow NBC News,1
5966,5966,"Black female inmates and COVID-19: Medically compromised, vulnerable and neglected",1
5967,5967,Louis Armstrong foundation launches $1M COVID-19 fund for jazz musicians,2
5968,5968,DJ Jazzy Jeff tells Will Smith he suffered memory loss while fighting pneumonia,0
5969,5969,The Last Dance' begins: Michael Jordan's career gets long-awaited retelling,0
5970,5970,Mrs. America' ERA miniseries gives women of color their due,0
5971,5971,The singular root is racism': Coronavirus joins air pollution to hit black communities hard,2
5972,5972,Hair stylists on best products for natural hair,1
5973,5973,Michigan task force to address disproportionate impact of coronavirus on black communities,2
5974,5974,BET hosts COVID-19 relief  special to aid black communities,1
5975,5975,Trump praises Baltimore Ravens QB  Lamar Jackson as a 'great pick',1
5976,5976,Players Coalition and NFL donate $3M to black communities hit by coronavirus,2
5977,5977,Masks in America aren't treated equally. Neither are the people who wear them.,2
5978,5978,Harlem church mourning 11 members who died from COVID-19,1
5979,5979,Tech industry fuels reverse migration for black Americans (Part 2),0
5980,5980,OUT News,2
5981,5981,"Ex-cop gets $90,000 settlement in HIV employment discrimination suit",0
5982,5982,OUT Health and Wellness,1
5983,5983,Andy Cohen says he couldn't donate plasma because he is gay,0
5984,5984,OUT News,2
5985,5985,"1 in 5 Russians want gays 'eliminated,' survey finds",1
5986,5986,Culture Matters,0
5987,5987,"In third, final season, 'Vida' nails Latinx identity, complexity",0
5988,5988,OUT News,2
5989,5989,Lesbian couple's custody case takes China into uncharted legal waters,0
5990,5990,OUT News,2
5991,5991,"They're hunting us': Two killed in Puerto Rico were trans women, activists say",0
5992,5992,OUT News,2
5993,5993,Gay couple fights prejudice and COVID-19 in Poland with rainbow masks,1
5994,5994,OUT News,2
5995,5995,LGBTQ groups around the world team up for a virtual 'Global Pride' celebration,1
5996,5996,OUT Pop Culture,1
5997,5997,Netflix doc 'Circus of Books' shines a light on LGBTQ and American history,0
5998,5998,OUT Pop Culture,1
5999,5999,From Catholicism to comedy: Cameron Esposito charts journey in memoir,0
6000,6000,OUT News,2
6001,6001,Texas judge says she was forced to remove pride flag from courtroom,0
6002,6002,OUT Pop Culture,1
6003,6003,"Cyndi Lauper, Troye Sivan, Michelle Visage to appear at Stonewall benefit concert",2
6004,6004,OUT News,2
6005,6005,Texas councilman and husband die days apart from COVID-19,3
6006,6006,OUT Pop Culture,1
6007,6007,Eight of 10 most-banned books challenged for LGBTQ content,0
6008,6008,OUT News,2
6009,6009,NYC Pride March canceled for first time in half-century,2
6010,6010,OUT Health and Wellness,1
6011,6011,Coronavirus restrictions highlight LGBTQ domestic abuse crisis,2
6012,6012,OUT Health and Wellness,1
6013,6013,Health experts urge FDA to ax gay blood donor restrictions,0
6014,6014,OUT News,2
6015,6015,Idaho's transgender birth certificate ban goes back to court,0
6016,6016,OUT News,2
6017,6017,"School allowed anti-gay abuse of teen, lawsuit claims",0
6018,6018,OUT Pop Culture,1
6019,6019,Meet the queer comic behind Netflix's bingeworthy show 'Feel Good',1
6020,6020,OUT News,2
6021,6021,Idaho's transgender sports ban challenged in federal court,0
6022,6022,OUT News,2
6023,6023,Masterpiece Cakeshop owner in court again for denying LGBTQ customer,0
6024,6024,Sections,0
6025,6025,TV,0
6026,6026,Featured,0
6027,6027,More from NBC,1
6028,6028,Follow NBC News,1
6029,6029,The doctor's diagnosis: Child abuse. It wasn't — but CPS took the baby anyway.,2
6030,6030,"Chaos at the U.S. border, wildfires, Women's World Cup: See 2019's year in pictures",4
6031,6031,We don't have any choice': Thousands of kids perform backbreaking labor for America's products,0
6032,6032,School Shooting Tracker: Counting school shootings since 2013,0
6033,6033,Disunited Kingdom: How Brexit might break Britain,0
6034,6034,How many more people have to die?' Carbon monoxide kills two more in HUD housing,3
6035,6035,"As their home melts, Greenlanders confront the fallout of climate change",1
6036,6036,What if you call 911 and no one comes? The collapse of rural America's EMS systems.,1
6037,6037,Police were cracking cold cases with a DNA website. Then the fine print changed.,2
6038,6038,Election Confessions: Tell us how you really feel about the 2020 candidates,2
6039,6039,Blast the A/C? Throw out half your lunch? Share your Climate Confession,1
6040,6040,Not the boys' club anymore': Eight women take a swing at the construction industry,3
6041,6041,"Debt, loans and 'still no baby': Your stories about egg freezing, ages 19 to 60",2
6042,6042,Facial recognition's 'dirty little secret': Millions of photos used without consent,3
6043,6043,Airplane Mode: An Odd and Unsettling New Era in Air Travel,2
6044,6044,He lures alleged child predators and shames them on Facebook. Now one of his targets is dead.,3
6045,6045,"An ALS patient's dilemma: End his own life peacefully, or die slowly of the disease?",2
6046,6046,"Mark Zuckerberg leveraged user data to fight rivals and help friends, internal docs show",0
6047,6047,"Officially, the notebook does not exist. But it's the key for migrants to get into the U.S.",1
6048,6048,"As sea levels rise, this American island is fighting to stay alive",0
6049,6049,"We've become the wild, Wild West': Residents of California city confront fatal police shootings",0
6050,6050,A year after Hurricane Maria: 'It is embarrassing that we're still in this situation',1
6051,6051,A closer look at the ravaged Notre Dame Cathedral,2
6052,6052,"Young Latinos: Born in the U.S.A., carving their own identity",1
6053,6053,Border battle threatens to derail Brexit divorce talks,0
6054,6054,How bad science is undermining America's justice system,0
6055,6055,This Grand Experiment Could Revolutionize America's Justice System,0
6056,6056,Proposed Trans-Pecos Pipeline Tears Texas in Two,0
6057,6057,"They May Have Survived a Gunshot, But the Emotional Toll Defines Them",0
6058,6058,High tides and sea rise make floods a part of life on the East Coast,3
6059,6059,The Making of an Astronaut,0
6060,6060,"How Votes Are Counted on Election Day, Explained",1
6061,6061,Prison's Grip on the Black Family,1
6062,6062,Inside the fight to clean the oceans,0
6063,6063,The Heartland: Life and Loss in Steel City,2
6064,6064,"He Survived a False Conviction, Then Freedom Failed Him",0
6065,6065,Lives interrupted: Hurricane teens left scrambling for normal,0
6066,6066,Beyond Trump: Where Will the GOP Go After 2016?,1
6067,6067,"In the chaos of Venezuela, a daughter fights for her father's life",2
6068,6068,The United States of Trump,0
6069,6069,Sections,0
6070,6070,TV,0
6071,6071,Featured,0
6072,6072,More from NBC,1
6073,6073,Follow NBC News,1
6074,6074,U.S. news,1
6075,6075,Photo,0
6076,6076,News,1
6077,6077,Guns in America,1
6078,6078,World,1
6079,6079,HUD's Hazards,0
6080,6080,Climate in Crisis,0
6081,6081,Health Care,0
6082,6082,U.S. news,1
6083,6083,Data Graphics,0
6084,6084,Climate in Crisis,0
6085,6085,U.S. news,1
6086,6086,Features,0
6087,6087,Tech & Media,1
6088,6088,U.S. news,1
6089,6089,U.S. news,1
6090,6090,U.S. news,1
6091,6091,Social Media,2
6092,6092,Immigration & The Border,0
6093,6093,U.S. news,1
6094,6094,U.S. news,1
6095,6095,Latino,0
6096,6096,Data Graphics,0
6097,6097,Generation Latino,0
6098,6098,World,1
6099,6099,U.S. news,1
6100,6100,U.S. news,1
6101,6101,U.S. news,1
6102,6102,U.S. news,1
6103,6103,Environment,0
6104,6104,Space,0
6105,6105,U.S. news,1
6106,6106,NBCBLK,0
6107,6107,U.S. news,1
6108,6108,U.S. news,1
6109,6109,U.S. news,1
6110,6110,Specials,0
6111,6111,2016 Election,0
6112,6112,World,1
6113,6113,2016 Election,0
6114,6114,Breaking News & Special Reports,1
6115,6115,The Nightly,0
6116,6116,Morning Rundown,1
6117,6117,Byers Market,0
6118,6118,First Read,1
6119,6119,Dateline,0
6120,6120,SCIENCE,0
6121,6121,BETTER,1
6122,6122,THINK,1
6123,6123,Know Your Value,2
6124,6124,Sections,0
6125,6125,TV,0
6126,6126,Featured,0
6127,6127,More from NBC,1
6128,6128,Follow NBC News,1
6129,6129,Feature,0
6130,6130,Feature,0
6131,6131,Feature,0
6132,6132,Feature,0
6133,6133,Feature,0
6134,6134,Feature,0
6135,6135,Feature,0
6136,6136,Feature,0
6137,6137,Opinion,0
6138,6138,Feature,0
6139,6139,Into America,0
6140,6140,Byers Market,0
6141,6141,Why Is This Happening? with Chris Hayes,0
6142,6142,The Oath with Chuck Rosenberg,0
6143,6143,Bag Man,1
6144,6144,So You Wanna Be President? with Chris Matthews,0
6145,6145,Article II: Inside Impeachment,0
6146,6146,The Thing About Pam,2
6147,6147,13 Alibis,0
6148,6148,Dateline NBC,0
6149,6149,The Rachel Maddow Show,0
6150,6150,Morning Joe,0
6151,6151,NBC Nightly News with Lester Holt,1
6152,6152,The Last Word with Lawrence O’Donnell,0
6153,6153,All In with Chris Hayes,0
6154,6154,The 11th Hour with Brian Williams,0
6155,6155,Deadline: White House,0
6156,6156,The Beat with Ari Melber,0
6157,6157,MSNBC Live: Decision 2020,0
6158,6158,Meet the Press with Chuck Todd,0
6159,6159,AM Joy,0
6160,6160,Kasie DC,0
6161,6161,Sunday Sitdown with Willie Geist,2
6162,6162,The Chuck ToddCast: Meet the Press,0
6163,6163,Meet the Press: The Lid,0
6164,6164,Modern Ruhles with Stephanie Ruhle,0
6165,6165,Sections,0
6166,6166,TV,0
6167,6167,Featured,0
6168,6168,More from NBC,1
6169,6169,Follow NBC News,1
6170,6170,Original,0
6171,6171,Original,0
6172,6172,Original,0
6173,6173,Original,0
6174,6174,ORIGINAL,0
6175,6175,Original,0
6176,6176,original,0
6177,6177,ORIGINAL,0
6178,6178,original,0
6179,6179,showcast,0
6180,6180,Showcast,0
6181,6181,Showcast,0
6182,6182,showcast,0
6183,6183,Showcast,0
6184,6184,Showcast,0
6185,6185,Showcast,0
6186,6186,Showcast,0
6187,6187,Showcast,0
6188,6188,Showcast,0
6189,6189,showcast,0
6190,6190,Showcast,0
6191,6191,showcast,0
6192,6192,original,0
6193,6193,original,0
6194,6194,original,0
6195,6195,Original,0
6196,6196,"Silicon Valley's glitzy new London outposts face an indefinite delay, as coronavirus hits progress",4
6197,6197,Latest News,1
6198,6198,Markets,0
6199,6199,Trending Now,1
6200,6200,Coronavirus,2
6201,6201,Global Traveler,0
6202,6202,Make It,1
6203,6203,Brexit,0
6204,6204,Sustainable Energy,0
6205,6205,Investing,0
6206,6206,POPULAR QUOTES,0
6207,6207,Market MOVERS,0
6208,6208,Most Active,0
6209,6209,Unusual Volume,0
6210,6210,Latest Market News,1
6211,6211,Special Reports,0
6212,6212,News Tips,1
6213,6213,CNBC Newsletters,1
6214,6214,Best for Binge-Watching,2
6215,6215,Trending Now,1
6216,6216,Latest Episodes,0
6217,6217,Together Starts Here,1
6218,6218,Bingeworthy,0
6219,6219,Late Night Laughs,0
6220,6220,Family Night,0
6221,6221,Popular Comedies,0
6222,6222,Popular Dramas,0
6223,6223,Sci-Fi & Fantasy,0
6224,6224,Popular Reality Shows,0
6225,6225,Crime & Justice,0
6226,6226,Popular News Shows,1
6227,6227,Daily Favorites,0
6228,6228,Featured Movies,0
6229,6229,Throwbacks,0
6230,6230,More Throwbacks,1
6231,6231,Featured Networks,0
6232,6232,Current Shows A-Z,0
6233,6233,Share the Moment™,0
6234,6234,NBC Quick Links,0
6235,6235,"
",0
6236,6236,"
",0
6237,6237,"
",0
6238,6238,"
",0
6239,6239,"
",0
6240,6240,"
",0
6241,6241,"
",0
6242,6242,"
",0
6243,6243,Choose your product,0
6244,6244,Choose Your Product,0
6245,6245,Choose Your Product,0
6246,6246,Sign up for Newsletter,1
6247,6247,Featured Productions,0
6248,6248,"
View all
",0
6249,6249,Our Partners,0
6250,6250,"
View all
",0
6251,6251,Resources for Parents,0
6252,6252,"
View all
",0
6253,6253,How veterans can successfully transition into civilian workforce,0
6254,6254,How to Prepare for Your Job Search.,1
6255,6255,How to Write a Cover Letter,1
6256,6256,Job Interview Tips,0
6257,6257,How military members can avoid predatory lenders,0
6258,6258,Hiring Our Heroes,0
6259,6259,Networking for Veterans,0
6260,6260,Spouses and Families,0
6261,6261,Military spouse turned financial planner on creating wealth,0
6262,6262,Military families find money matters complex,1
6263,6263,US. Chamber of Commerce,0
6264,6264,Combat Vet shares financial advice for military families,0
6265,6265,NBCUniversal Careers Openings,0
6266,6266,Comcast Careers,0
6267,6267,12 Steps to Starting a Small Business,0
6268,6268,Small Business Resources,0
6269,6269,Military families say this is their top concern,3
6270,6270,CNBC & Acorns announce strategic partnership,0
6271,6271,Veteran News,1
6272,6272,Coronavirus,2
6273,6273,"VA has provided few answers around agency's virus study, veteran advocates say",1
